director_id,director_name
816,Jackie Chan
817,张立 | Zhang Li
818,Laurent Tirard
819,Reinhard Klooss
820,Holger Tappe
821,Frédéric Auburtin
822,Olivier Dahan
823,Maksim Fadeev
824,Liliana Cavani
825,Elizabeth Banks
826,Edward Norton
827,Ben Falcone
828,Richard Attenborough
829,Don Mancini
830,John Maybury
831,Norton Virgien
832,Igor Kovalyov
833,Shinji Aramaki
834,Miguel Arteta
835,James Gray
836,Janusz Kamiński
837,Robert B. Weide
838,Jeff Wadlow
839,Agustín Díaz Yanes
840,Camille Delamarre
841,David Lean
842,Richard Eyre
843,Nicholas Meyer
844,Callie Khouri
845,Sanaa Hamri
846,Todd Graff
847,Philip Kaufman
848,Saul Dibb
849,Walter Murch
850,Richard Linklater
851,E. Elias Merhige
852,Menno Meyjes
853,Jodie Foster
854,Scott Frank
855,Kevin Allen
856,Michael Cristofer
857,Andrew Morahan
858,Bob Rafelson
859,Michael Cohn
860,Stephen Greene
861,Alan Shapiro
862,Fernando Meirelles
863,Michael Hoffman
864,Oleg Stepchenko
865,Michael Winterbottom
866,Michael Pressman
867,Sharon Maguire
868,Charles Herman-Wurmfeld
869,Gábor Csupó
870,Tyler Perry
871,Joe Carnahan
872,John Polson
873,Bernardo Bertolucci
874,Cathy Malkasian
875,Jeff McGrath
876,John Eng
877,Chris Nahon
878,Fred Wolf
879,Bille Woodruff
880,Victor Salva
881,Mark Helfrich
882,Steve Bendelack
883,Dwight H. Little
884,Guillaume Canet
885,Kirsten Sheridan
886,Richard Fleischer
887,Kinji Fukasaku
888,Toshio Masuda
889,Bob Spiers
890,Damien Dante Wayans
891,John Wells
892,Tim Fywell
893,Nigel Cole
894,Dexter Fletcher
895,Jeremy Leven
896,Sylvain White
897,Troy Nixey
898,Philip G. Atwell
899,Jeff Schaffer
900,James Bridges
901,Steve Barron
902,Bill Paxton
903,Richard Kelly
904,Carter Smith
905,John Schlesinger
906,Ringo Lam
907,Bruce McCulloch
908,Patricia Riggen
909,Pascal Chaumeil
910,Jonathan Kaplan
911,Ole Bornedal
912,Richard Benjamin
913,Craig R. Baxley
914,John Hillcoat
915,John Guillermin
916,Marcos Siega
917,Rachel Talalay
918,Jeffrey W. Byrd
919,Atom Egoyan
920,Robert Towne
921,Giuseppe Tornatore
922,Werner Herzog
923,Jérôme Deschamps
924,Pascal Hérold
925,Macha Makeïeff
926,Inna Evlannikova
927,Svyatoslav Ushakov
928,Jonathan English
929,Sergey Bondarchuk
930,Teddy Chan
931,Mario Van Peebles
932,Leonard Nimoy
933,Herbert Ross
934,Bonnie Hunt
935,Neil LaBute
936,Grant Heslov
937,George Gallo
938,Sidney Lumet
939,Douglas McGrath
940,Kevin Spacey
941,Richard Williams
942,Mary McGuckian
943,Tony Goldwyn
944,Jonathan Newman
945,Michael Dinner
946,Joseph Sargent
947,Jerry Zaks
948,Fred Durst
949,Anne Fontaine
950,Jon Cassar
951,Mira Nair
952,Mel Brooks
953,Russell Crowe
954,Jessie Nelson
955,Christopher Spencer
956,Mike Bigelow
957,Daniel Sackheim
958,Deborah Kaplan
959,Harry Elfont
960,Uli Edel
961,Fred Dekker
962,Brian Trenchard-Smith
963,Paul J. Lombardi
964,Blake Edwards
965,Laurence Dunmore
966,Christian Carion
967,Dax Shepard
968,David Palmer
969,Rowan Joffe
970,John Curran
971,Juan José Campanella
972,Trey Parker
973,Stuart Gillard
974,Katt Shea
975,Joshua Michael Stern
976,Tomas Alfredson
977,John Duigan
978,Colin Higgins
979,Jim Sonzero
980,Penelope Spheeris
981,Jeff Tremaine
982,Jeannot Szwarc
983,Steve McQueen
984,Thea Sharrock
985,Jon Lucas
986,Scott Moore
987,Robin Budd
988,Donovan Cook
989,Ava DuVernay
990,Steve Trenbirth
991,Mennan Yapo
992,Jun Falkenstein
993,Tom McCarthy
994,Takashi Shimizu
995,Gary Nelson
996,Anton Corbijn
997,Gregory Nava
998,John Patrick Shanley
999,Joshua Logan
1000,Steve Beck
1001,Todd Strauss-Schulson
1002,John McNaughton
1003,Nelson McCormick
1004,Eric Valette
1005,Andrew Fleming
1006,Michael Spierig
1007,Peter Spierig
1008,Jim Field Smith
1009,Thomas Bezucha
1010,William Brent Bell
1011,Ben Gluck
1012,Anthony Bell
1013,Jessica Bendinger
1014,Henry Joost
1015,Ariel Schulman
1016,Ed Harris
1017,Alfred Hitchcock
1018,Shana Feste
1019,Steve Rash
1020,Mike Binder
1021,Michael J. Bassett
1022,Frank Nissen
1023,Stephen Chow
1024,Peter Hastings
1025,Paul Abascal
1026,Chris Koch
1027,Amy Heckerling
1028,Michael Moore
1029,George Stevens
1030,Billy Ray
1031,Mark Mylod
1032,Stephen St. Leger
1033,James Mather
1034,Michael O. Sajbel
1035,Charles T. Kanganis
1036,Damon Santostefano
1037,Bob Clark
1038,Frank Passingham
1039,Dave Borthwick
1040,Jean Duval
1041,Benson Lee
1042,Glen Morgan
1043,Mike Leigh
1044,Alejandro Monteverde
1045,Jonathan Glazer
1046,J.C. Chandor
1047,Paul Gross
1048,Marc Abraham
1049,Todd Haynes
1050,Mabrouk El Mechri
1051,Charlie Kaufman
1052,Nancy Walker
1053,Angelo Pizzo
1054,Matthew Diamond
1055,Katsuhiro Ōtomo
1056,David Anspaugh
1057,Andrew Jarecki
1058,Daniel Algrant
1059,Mike Barker
1060,Wayne Thornley
1061,Gnana Rajasekaran
1062,Tom Walsh
1063,Jonathan Jakubowicz
1064,Scott Walker
1065,Mark Rosman
1066,Rob Hawk
1067,Britt Allcroft
1068,Alan Yuen
1069,Brian Percival
1070,Anand Tucker
1071,Anthony Mann
1072,Michael Dowse
1073,Daniel Barnz
1074,Emile Ardolino
1075,Robert Altman
1076,James Schamus
1077,Andrew Douglas
1078,Ricky Gervais
1079,Matthew Robinson
1080,Vic Armstrong
1081,Terry Zwigoff
1082,Audrey Wells
1083,Rick Friedberg
1084,Sean McNamara
1085,Jody Hill
1086,Brandon Camp
1087,Kevin Tancharoen
1088,Nicholas Hytner
1089,Bart Freundlich
1090,James Sbardellati
1091,Peter Merwin
1092,William A. Fraker
1093,John Boorman
1094,Courtney Solomon
1095,Jeff Kanew
1096,István Szabó
1097,Matthew Robbins
1098,Hal Needham
1099,Jeff Nichols
1100,Jonathan Teplitzky
1101,Michael Haneke
1102,Zack Ward
1103,Mike Marvin
1104,Gregor Jordan
1105,Olivier Assayas
1106,Tran Anh Hung
1107,Lance Hool
1108,Christian Volckman
1109,Rodrigo Cortés
1110,David Hayter
1111,Cory Edwards
1112,Todd Edwards
1113,Tony Leech
1114,Terry George
1115,Xavier Gens
1116,Kasi Lemmons
1117,Brian A Miller
1118,Matt Dillon
1119,George Cukor
1120,John Robert Hoffman
1121,Kevin Greutert
1122,John Fortenberry
1123,Erik White
1124,Christian Robinson
1125,Jason Moore
1126,Robert Harmon
1127,Trent Cooper
1128,Gary Halvorson
1129,Nicholas Ray
1130,Guy Green
1131,Fede Alvarez
1132,Sidney J. Furie
1133,Ian Iqbal Rashid
1134,Wayne Kramer
1135,Rowdy Herrington
1136,Jim Goddard
1137,Noel Marshall
1138,Andrea Di Stefano
1139,Guillaume Ivernel
1140,Arthur Qwak
1141,Jack Smight
1142,Todd Lincoln 
1143,Howard Zieff
1144,Steven Shainberg
1145,Julian Jarrold
1146,Joe Nussbaum
1147,Vadim Perelman
1148,Michel Hazanavicius
1149,Cyrus Nowrasteh
1150,Perry Andelin Blake
1151,Christian E. Christiansen
1152,Sheldon Lettich
1153,Diane English
1154,Peter Flinth
1155,Robert Iscove
1156,Peter Kosminsky
1157,Nick Gomez
1158,Allen Coulter
1159,Clare Kilner
1160,Josef Rusnak
1161,Lance Rivera
1162,Ronald Neame
1163,Bruce Paltrow
1164,Adam Rifkin
1165,Susanne Bier
1166,Kenneth Johnson
1167,James Ivory
1168,Jessy Terrero
1169,Dany Boon
1170,Nicolas Guy
1171,Vicente Amorim
1172,Gaspar Noé
1173,Jérôme Salle
1174,Tommy Lee Jones
1175,Jesse Vaughan
1176,William Bindley
