,director_id,director_name
685,27728,Leslie H. Martinson
686,1744,Robert Wise
687,70777,Kevin Rodney Sullivan
688,19499,Kevin Munroe
689,53178,Mike Tollin
690,3964,Patrick Tatopoulos
691,70738,Gary David Goldberg
692,10051,Tobe Hooper
693,113225,Alan Poul
694,65734,Luke Greenfield
695,40243,Gil Junger
696,12964,Michael Ritchie
697,1726,Steven E. de Souza
698,59291,Alexandre Aja
699,28741,Michael Rymer
700,28904,Hugh Wilson
701,17281,Mike Hodges
702,90812,Scott Mann
703,113600,Susanna White
704,12524,Chris Carter
705,62514,Tommy O'Haver
706,1192754,Peter Landesman
707,80691,Gary Chapman
708,35796,Craig Mazin
709,64163,Kimble Rendall
710,12804,Peter Yates
711,5306,Lasse Hallström
712,69371,Jean-Marc Vallée
713,26760,Tsui Hark
714,56359,Lexi Alexander
715,17268,Ronny Yu
716,19684,Bille August
717,66203,Moustapha Akkad
718,25950,Jean-Paul Rappeneau
719,20307,Joachim Rønning
720,20308,Espen Sandberg
721,814,Tony Kaye
722,1375201,Ken Scott
723,22100,Hugh Johnson
724,608,Hayao Miyazaki
725,66121,"George Tillman, Jr."
726,29524,Rand Ravich
727,58220,Hugh Hudson
728,76100,Ben Stassen
729,1324172,Jeremy Degruson
730,10855,Chris Gorak
731,932088,Scott Speer
732,66604,Joe Charbanic
733,876,Jonathan Hensleigh
734,33279,Danny Cannon
735,52358,Boaz Yakin
736,19800,Richard Marquand
737,57581,Neil Marshall
738,22214,David Wain
739,53925,Jared Hess
740,11809,Rupert Wainwright
741,97026,John Luessenhop
742,52599,Justin Zackham
743,53176,John Gatins
744,114404,Miguel Sapochnik
745,64331,Shim Hyung-Rae
746,93419,Don Scardino
747,504,Tim Robbins
748,43673,Tom Reeve
749,96439,Nanette Burstein
750,81476,Ariel Vromen
751,10076,Lewis Gilbert
752,52935,John Francis Daley
753,1236679,Jonathan M. Goldstein
754,7409,J.B. Rogers
755,566328,Michael Sucsy
756,56717,Tom Vaughan
757,70651,Stephen Hillenburg
758,80540,Stig Bergqvist
759,52443,Jason Reitman
760,13235,Alexander Payne
761,56661,Jonathan Levine
762,67367,Rian Johnson
763,58137,Chris Noonan
764,14172,Michael McCullers
765,2178,Forest Whitaker
766,1243,Woody Allen
767,1262197,Peter Lepeniotis
768,34849,Ted Demme
769,1748,William Shatner
770,7313,Steve Box
771,34891,Mike Johnson
772,60496,James Gartner
773,109745,Lee Toland Krieger
774,77919,Tim McCanlies
775,47506,Drew Goddard
776,35694,Jason Friedberg
777,35734,Aaron Seltzer
778,12988,Paul Michael Glaser
779,26714,John R. Leonetti
780,31,Tom Hanks
781,2836,Kimberly Peirce
782,60024,Liz Friedlander
783,18500,Phil Joanou
784,71923,Shane Acker
785,63713,Martha Coolidge
786,227438,Stephen Anderson
787,58868,Troy Miller
788,55789,Tate Taylor
789,57090,Brett Leonard
790,59126,Alister Grierson
791,42274,Nick Hurran
792,80215,Charles Stone III
793,455,Paul Haggis
794,13927,Kurt Wimmer
795,58324,Jean-François Richet
796,40230,Kevin Hooks
797,56150,Ellory Elkayem
798,15287,Niki Caro
799,5877,Vincenzo Natali
800,686,Willard Huyck
801,77003,Gavin O'Connor
802,44179,Bruce Hunt
803,20305,Christopher Roberts
804,543568,Kim Jee-woon
805,6361,Nick Hamm
806,80307,Andy Cadiff
807,108952,Mike Disa
808,137475,Richard J. Lewis
809,4385,Sergio Leone
810,19346,Niels Arden Oplev
811,28898,Michael Radford
812,72258,Steve Boyum
813,20640,Chen Kaige
814,35452,Corey Yuen Kwai
815,37618,Andrew Dominik
816,18897,Jackie Chan
817,143217,张立 | Zhang Li
818,64575,Laurent Tirard
819,57035,Reinhard Klooss
820,66942,Holger Tappe
821,21126,Frédéric Auburtin
822,16919,Olivier Dahan
823,1565981,Maksim Fadeev
824,67750,Liliana Cavani
825,9281,Elizabeth Banks
826,819,Edward Norton
827,170820,Ben Falcone
828,4786,Richard Attenborough
829,65677,Don Mancini
830,40307,John Maybury
831,86439,Norton Virgien
832,110873,Igor Kovalyov
833,70100,Shinji Aramaki
834,61069,Miguel Arteta
835,20561,James Gray
836,492,Janusz Kamiński
837,74159,Robert B. Weide
838,55075,Jeff Wadlow
839,127823,Agustín Díaz Yanes
840,928490,Camille Delamarre
841,12238,David Lean
842,36693,Richard Eyre
843,1788,Nicholas Meyer
844,17397,Callie Khouri
845,64140,Sanaa Hamri
846,18342,Todd Graff
847,648,Philip Kaufman
848,73460,Saul Dibb
849,154,Walter Murch
850,564,Richard Linklater
851,17279,E. Elias Merhige
852,736,Menno Meyjes
853,1038,Jodie Foster
854,2199,Scott Frank
855,36083,Kevin Allen
856,21136,Michael Cristofer
857,53599,Andrew Morahan
858,19450,Bob Rafelson
859,56956,Michael Cohn
860,1410294,Stephen Greene
861,129941,Alan Shapiro
862,8557,Fernando Meirelles
863,52405,Michael Hoffman
864,238220,Oleg Stepchenko
865,172,Michael Winterbottom
866,59649,Michael Pressman
867,9158,Sharon Maguire
868,76247,Charles Herman-Wurmfeld
869,36697,Gábor Csupó
870,80602,Tyler Perry
871,40223,Joe Carnahan
872,15337,John Polson
873,4956,Bernardo Bertolucci
874,78488,Cathy Malkasian
875,78485,Jeff McGrath
876,86437,John Eng
877,21931,Chris Nahon
878,66563,Fred Wolf
879,62116,Bille Woodruff
880,56349,Victor Salva
881,1098,Mark Helfrich
882,16356,Steve Bendelack
883,56998,Dwight H. Little
884,19866,Guillaume Canet
